FullGeneName,GeneID,SortIndex,Uniprot ID,GeneName,Length (bp),PZ,OrthologID_D,OrthologID_CM,Product,Mass (kD),Function,Mem true,Hyp true,DNA true,Secr true,Inc true,Protein Family,EB,RB,Microarray,PDB ID,PDB,PDBImageURL,AlphaFold ID,AFImageURL,Version,Structural homology (Foldseek),Biological Process,Cellular Component,Molecular Function,Subcellular Location,Subunit Structure,LastEdited,EditedByName,Favorite
topA CTL0011,CTL0011,11,A0A0H3MCD9,topA,857,,CT643,TC0012,DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I),96.7,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,Type IA topoisomerase family,57,ND,Late,,,,A0A0H3MCD9,,,,DNA topological change [GO:0006265],chromosome [GO:0005694],"DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; metal ion binding [GO:0046872]",,Monomer. {ECO:0000256|HAMAP-Rule:MF_00952}.,,,
 CTL0012,CTL0012,12,A0A0H3MJP1,,334,,CT644,TC0013,tRNA-dihydrouridine synthase (EC 1.3.1.-),37.1,Other,FALSE,FALSE,FALSE,FALSE,FALSE,Dus family,11,ND,Constitutive,,,,A0A0H3MJP1,,,,,,flavin adenine dinucleotide binding [GO:0050660]; RNA binding [GO:0003723]; tRNA dihydrouridine synthase activity [GO:0017150],,,,,
 CTL0013,CTL0013,13,A0A0H3MB25,,98,,CT645,TC0014,Integral membrane protein,11.8,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,YggT family,ND,ND,Mid_Late,,,,A0A0H3MB25,,,,,membrane [GO:0016020],,,,,,
 CTL0014,CTL0014,14,A0A0H3MAK7,,459,,CT646,TC0015,Uncharacterized protein,51.5,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MAK7,,,,,,,,,,,
 CTL0015,CTL0015,15,A0A0H3MG40,,192,,CT647,TC0016,Exported protein,22.1,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MG40,,,,,,,,,,,
 CTL0016,CTL0016,16,A0A0H3MCE3,,424,,CT648,TC0017,Membrane protein,47.8,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MCE3,,,,,,,,,,,
 CTL0017,CTL0017,17,A0A0H3MJP4,,178,,CT649,TC0018,5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2),20.7,Cofactor metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,5-formyltetrahydrofolate cyclo-ligase family,ND,ND,Constitutive,,,,A0A0H3MJP4,,,,,,5-formyltetrahydrofolate cyclo-ligase activity [GO:0030272]; ATP binding [GO:0005524]; metal ion binding [GO:0046872],,,,,
recA CTL0018,CTL0018,18,B0B8M5,recA,352,,CT650,TC0019,Protein RecA (Recombinase A),37.8,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,RecA family,ND,131,Mid_Late,,,,B0B8M5,,,,DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432],cytoplasm [GO:0005737],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00268}.,,,,
 CTL0019,CTL0019,19,A0A0H3MB29,,608,,CT651,TC0020,Exported lipoprotein,70.5,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,ND,,,,A0A0H3MB29,,,,,,,,,,,
recD CTL0020,CTL0020,20,A0A0H3MAL1,recD,496,,CT652,TC0021,Exodeoxyribonuclease V alpha chain,55.9,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MAL1,,,,DNA recombination [GO:0006310]; double-strand break repair [GO:0006302],exodeoxyribonuclease V complex [GO:0009338],exodeoxyribonuclease V activity [GO:0008854]; helicase activity [GO:0004386],,,,,
 CTL0021,CTL0021,21,A0A0H3MG42,,59,,CT652,TC0022,Uncharacterized protein,6.6,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,,ND,ND,,,,,A0A0H3MG42,,,,,,,,,,,
 CTL0022,CTL0022,22,A0A0H3MCE8,,239,,CT653,TC0023,ABC transporter ATP-binding protein,26.4,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,,ND,ND,ND,,,,A0A0H3MCE8,,,,transmembrane transport [GO:0055085],ATP-binding cassette (ABC) transporter complex [GO:0043190],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,,,,
 CTL0023,CTL0023,23,A0A0H3MJP9,,162,,CT654,TC0024,Exported protein,18.0,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MJP9,,,,,,,,,,,
kdsA CTL0024,CTL0024,24,B0B8N1,kdsA,269,,CT655,TC0025,2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase),29.6,Cell envelope,FALSE,FALSE,FALSE,FALSE,FALSE,KdsA family,ND,ND,Constitutive,,,,B0B8N1,,,,keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0019294],cytoplasm [GO:0005737],3-deoxy-8-phosphooctulonate synthase activity [GO:0008676],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00056}.,,,,
 CTL0025,CTL0025,25,A0A0H3MB34,,97,,CT656,TC0027,Uncharacterized protein,11.2,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,,,,,A0A0H3MB34,,,,,,,,,,,
 CTL0026,CTL0026,26,A0A0H3MAL4,,105,,CT657,TC0028,Uncharacterized protein,12.3,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MAL4,,,,,,,,,,,
sfhB CTL0027,CTL0027,27,A0A0H3MG47,sfhB,335,,CT658,,Pseudouridine synthase (EC 5.4.99.-),37.9,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Pseudouridine synthase RluA family,ND,ND,Constitutive,,,,A0A0H3MG47,,,,enzyme-directed rRNA pseudouridine synthesis [GO:0000455],,RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159],,,,,
khpA CTL0028,CTL0028,28,A0A0H3MCF1,khpA,78,,CT659,TC0030,RNA-binding protein KhpA (KH-domain protein A),8.8,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,KhpA RNA-binding protein family,41,NQ,Late,,,,A0A0H3MCF1,,,,,cytoplasm [GO:0005737],RNA binding [GO:0003723],Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00088}.,,,,
gyrA2 CTL0029,CTL0029,29,A0A0H3MJQ4,gyrA2,490,,CT660,TC0031,DNA gyrase subunit A,55.3,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,Type II topoisomerase GyrA/ParC subunit family,NQ,NQ,Late,,,,A0A0H3MJQ4,,,,DNA topological change [GO:0006265],,"ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]",,,,,
gyrB CTL0030,CTL0030,30,A0A0H3MB39,gyrB,605,,CT661,TC0032,DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.2),68.3,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MB39,,,,DNA topological change [GO:0006265],,"ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]",,,,,
hemA CTL0031,CTL0031,31,B0B8N8,hemA,335,,CT662,TC0033,Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70),38.9,Cofactor metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Glutamyl-tRNA reductase family,ND,ND,Mid_Late,,,,B0B8N8,,,,protoporphyrinogen IX biosynthetic process [GO:0006782],,glutamyl-tRNA reductase activity [GO:0008883]; NADP binding [GO:0050661],,Homodimer. {ECO:0000255|HAMAP-Rule:MF_00087}.,,,
sycE CTL0032,CTL0032,32,A0A0H3MAL7,sycE,133,,CT663,TC0034,Type III secretion system chaperone,14.7,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,,NQ,ND,Mid_Late,,,,A0A0H3MAL7,,,,protein secretion by the type III secretion system [GO:0030254],,,,,,,
 CTL0033,CTL0033,33,A0A0H3MG51,,829,,CT664,TC0035,Phosphopeptide binding protein (Predicted to be a TTSS protein),89.7,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,,151,158,Mid_Late,,,,A0A0H3MG51,,,,,membrane [GO:0016020],,,,,,
 CTL0034,CTL0034,34,A0A0H3MCF5,,83,,CT665,TC0036,Uncharacterized protein,9.3,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,NQ,NQ,Mid_Late,,,,A0A0H3MCF5,,,,,,,,,,,
 CTL0035,CTL0035,35,A0A0H3MJQ8,,83,,CT666,TC0037,Uncharacterized protein,9.2,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,,ND,ND,Mid_Late,,,,A0A0H3MJQ8,,,,,,,,,,,
 CTL0036,CTL0036,36,A0A0H3MB44,,149,,CT667,TC0038,Uncharacterized protein,16.5,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Mid_Late,,,,A0A0H3MB44,,,,,,protein serine/threonine kinase activity [GO:0004674],,,,,
 CTL0037,CTL0037,37,A0A0H3MAM1,,223,,CT668,TC0039,Uncharacterized protein,24.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,31,ND,Mid_Late,,,,A0A0H3MAM1,,,,,,,,,,,
sctN CTL0038,CTL0038,38,A0A0H3MG55,sctN,442,,CT669,TC0040,Type 3 secretion system ATPase (EC 7.4.2.8),48.2,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,"ATPase alpha/beta chains family, T3SS ATPase subfamily",62,ND,Mid_Late,,,,A0A0H3MG55,,,,protein secretion by the type III secretion system [GO:0030254],cytoplasm [GO:0005737]; type III protein secretion system complex [GO:0030257],"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]",Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,,,,
 CTL0039,CTL0039,39,A0A0H3MCF8,,168,,CT670,TC0041,Type III secretion T3S chaperone,20.2,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,,ND,ND,Mid_Late,,,,A0A0H3MCF8,,,,,,,,,,,
 CTL0040,CTL0040,40,A0A0H3MJR2,,283,,CT671,TC0042,Uncharacterized protein,31.0,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,,ND,ND,Mid_Late,,,,A0A0H3MJR2,,,,,,,,,,,
sctQ CTL0041,CTL0041,41,A0A0H3MB47,sctQ,373,,CT672,TC0043,"Type III secretion component, basal body",41.2,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,,107,ND,Mid_Late,,,,A0A0H3MB47,,,,protein secretion by the type III secretion system [GO:0030254],,,,,,,
pkn5 CTL0042,CTL0042,42,A0A0H3MAM5,pkn5,490,,CT673,TC0044,Serine/threonine-protein kinase (TTSS effector protein),56.0,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MAM5,,,,phosphorylation [GO:0016310]; regulation of autophagy [GO:0010506],,ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674],,,,,
 CTL0043,CTL0043,43,A0A0H3MG59,,921,,CT674,TC0045,Type III secretion structural protein (Outer membrane ring),100.2,Type III secretion,TRUE,FALSE,FALSE,FALSE,FALSE,Bacterial secretin family,134,35,Late,,,,A0A0H3MG59,,,,protein secretion [GO:0009306],cell outer membrane [GO:0009279],,Cell outer membrane {ECO:0000256|RuleBase:RU004004}.,,,,
aspC CTL0044,CTL0044,44,A0A0H3MCG1,aspC,356,,CT675,TC0046,Aspartate kinase,40.1,Amino acid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,ATP:guanido phosphotransferase family,ND,ND,Constitutive,,,,A0A0H3MCG1,,,,phosphorylation [GO:0016310],,"ATP binding [GO:0005524]; kinase activity [GO:0016301]; phosphotransferase activity, nitrogenous group as acceptor [GO:0016775]",,,,,
 CTL0045,CTL0045,45,A0A0H3MJR6,,173,,CT676,TC0047,UVR domain-containing protein,19.9,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,29,ND,ND,,,,A0A0H3MJR6,,,,,,,,,,,
frr CTL0046,CTL0046,46,B0B8Q3,frr,179,,CT677,TC0048,Ribosome-recycling factor (RRF) (Ribosome-releasing factor),20.1,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,RRF family,52,ND,Constitutive,,,,B0B8Q3,,,,translational termination [GO:0006415],cytoplasm [GO:0005737],,Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00040}.,,,,
pyrH CTL0047,CTL0047,47,A0A0H3MB52,pyrH,245,,CT678,TC0049,Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK),26.2,Nucleotide metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,UMP kinase family,85,NQ,Constitutive,,,,A0A0H3MB52,,,,'de novo' CTP biosynthetic process [GO:0044210]; phosphorylation [GO:0016310],cytoplasm [GO:0005737],ATP binding [GO:0005524]; UMP kinase activity [GO:0033862],Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01220}.,Homohexamer. {ECO:0000256|HAMAP-Rule:MF_01220}.,,,
tsf CTL0048,CTL0048,48,B0B8Q5,tsf,282,,CT679,TC0050,Elongation factor Ts (EF-Ts),31.0,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,EF-Ts family,135,142,Constitutive,,,,B0B8Q5,,,,,cytoplasm [GO:0005737],translation elongation factor activity [GO:0003746],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00050}.,,,,
rpsB CTL0049,CTL0049,49,A0A0H3MAM7,rpsB,282,,CT680,TC0051,Small ribosomal subunit protein uS2,31.2,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Universal ribosomal protein uS2 family,167,140,Constitutive,,,,A0A0H3MAM7,,,,translation [GO:0006412],small ribosomal subunit [GO:0015935],structural constituent of ribosome [GO:0003735],,,,,
ompA CTL0050,CTL0050,50,P06597,ompA,394,,CT681,TC0052,Major outer membrane porin (MOMP),42.6,Cell envelope,TRUE,FALSE,FALSE,FALSE,FALSE,Chlamydial porin (CP) (TC 1.B.2) family,187,940,Late,,,,P06597,,,,monoatomic ion transport [GO:0006811]; regulation of cell shape [GO:0008360],cell outer membrane [GO:0009279]; pore complex [GO:0046930],porin activity [GO:0015288]; structural molecule activity [GO:0005198],Cell outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.,"Part of a disulfide cross-linked outer membrane complex (COMC) composed of the major outer membrane porin (MOMP), the small cysteine-rich protein (OmcA) and the large cysteine-rich periplasmic protein (OmcB).",,,
pbpB CTL0051,CTL0051,51,A0A0H3MG63,pbpB,1080,,CT682,TC0054,Penicillin-binding protein,124.1,Cell envelope,TRUE,FALSE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MG63,,,,,membrane [GO:0016020],penicillin binding [GO:0008658],Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.,,,,
 CTL0052,CTL0052,52,A0A0H3MCG2,,335,,CT683,TC0055,Tetratricopeptide repeat protein,38.3,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,NQ,ND,Constitutive,,,,A0A0H3MCG2,,,,,,protein serine/threonine kinase activity [GO:0004674],,,,,
 CTL0053,CTL0053,53,A0A0H3MJR8,,483,,CT684,TC0056,SUF system FeS cluster assembly SufBD N-terminal domain-containing protein,53.9,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,Iron-sulfur cluster assembly SufBD family,13,ND,Constitutive,,,,A0A0H3MJR8,,,,iron-sulfur cluster assembly [GO:0016226],,,,,,,
 CTL0054,CTL0054,54,A0A0H3MB57,,255,,CT685,TC0057,ABC transporter ATP-binding protein,28.4,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,"ABC transporter superfamily, Ycf16 family",NQ,ND,Constitutive,,,,A0A0H3MB57,,,,,,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,,,,
 CTL0055,CTL0055,55,A0A0H3MAN0,,395,,CT686,TC0058,ABC transporter-associated protein,44.6,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,,9,ND,Constitutive,,,,A0A0H3MAN0,,,,iron-sulfur cluster assembly [GO:0016226],,,,,,,
sufS CTL0056,CTL0056,56,A0A0H3MG66,sufS,401,,CT687,TC0059,Cysteine desulfurase (EC 2.8.1.7),43.8,Amino acid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,"Class-V pyridoxal-phosphate-dependent aminotransferase family, Csd subfamily",NQ,ND,Constitutive,,,,A0A0H3MG66,,,,cysteine metabolic process [GO:0006534],,cysteine desulfurase activity [GO:0031071]; pyridoxal phosphate binding [GO:0030170],,,,,
parB CTL0057,CTL0057,57,A0A0H3MCG3,parB,281,,CT688,TC0060,Chromosome partitioning protein,31.5,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,ParB family,ND,ND,Constitutive,,,,A0A0H3MCG3,,,,chromosome segregation [GO:0007059],,DNA binding [GO:0003677],,,,,
dppF CTL0058,CTL0058,58,A0A0H3MJS1,dppF,276,,CT689,TC0061,"ABC transport protein, ATPase component",31.0,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,ABC transporter superfamily,16,ND,Constitutive,,,,A0A0H3MJS1,,,,,,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,,,,
dppD CTL0059,CTL0059,59,A0A0H3MB62,dppD,321,,CT690,TC0062,"ABC transport protein, ATPase component",36.0,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,ABC transporter superfamily,NQ,NQ,Constitutive,,,,A0A0H3MB62,,,,peptide transport [GO:0015833],,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,,,,
 CTL0060,CTL0060,60,A0A0H3MAN6,,224,,CT691,TC0063,Pit accessory protein,25.2,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,UPF0111 family,ND,ND,Constitutive,,,,A0A0H3MAN6,,,,,,,,,,,
 CTL0061,CTL0061,61,A0A0H3MG71,,426,,CT692,TC0064,Phosphate transporter,45.4,Membrane transport,TRUE,FALSE,FALSE,FALSE,FALSE,Inorganic phosphate transporter (PiT) (TC 2.A.20) family,ND,ND,Constitutive,,,,A0A0H3MG71,,,,phosphate ion transport [GO:0006817],membrane [GO:0016020],inorganic phosphate transmembrane transporter activity [GO:0005315],"Membrane {ECO:0000256|ARBA:ARBA00004141, ECO:0000256|RuleBase:RU363058}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141, ECO:0000256|RuleBase:RU363058}.",,,,
pgk CTL0062,CTL0062,62,B0B8R9,pgk,403,,CT693,TC0065,Phosphoglycerate kinase (EC 2.7.2.3),43.1,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Phosphoglycerate kinase family,62,ND,Late,,,,B0B8R9,,,,glycolytic process [GO:0006096]; phosphorylation [GO:0016310],cytoplasm [GO:0005737],ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00145}.,Monomer. {ECO:0000255|HAMAP-Rule:MF_00145}.,,,
 CTL0063,CTL0063,63,A0A0H3MCG4,,322,,CT694,TC0066,Uncharacterized protein,34.7,Secreted effector,FALSE,FALSE,FALSE,TRUE,FALSE,,50,ND,late,,,,A0A0H3MCG4,,,,,,,,,,,
 CTL0064,CTL0064,64,A0A0H3MJS5,,398,,CT695,TC0067,Uncharacterized protein,44.3,Secreted effector,FALSE,FALSE,FALSE,TRUE,FALSE,,96,ND,Late,,,,A0A0H3MJS5,,,,,,,,,,,
 CTL0065,CTL0065,65,A0A0H3MB65,,392,,CT696,TC0068,Uncharacterized protein,45.7,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MB65,,,,,,,,,,,
nth CTL0066,CTL0066,66,A0A0H3MAN9,nth,211,,CT697,TC0069,Endonuclease III,23.4,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MAN9,,,,base-excision repair [GO:0006284],,"4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; metal ion binding [GO:0046872]",,,,,
mnmE CTL0067,CTL0067,67,B0B8S4,mnmE,444,,CT698,TC0070,tRNA modification GTPase MnmE (EC 3.6.-.-),48.1,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, TrmE GTPase family",ND,ND,Constitutive,,,,B0B8S4,,,,tRNA modification [GO:0006400],cytoplasm [GO:0005737],GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00379}.,Homodimer. Heterotetramer of two MnmE and two MnmG subunits. {ECO:0000255|HAMAP-Rule:MF_00379}.,,,
