FullGeneName,GeneID,SortIndex,Uniprot ID,GeneName,Length (bp),PZ,OrthologID_D,OrthologID_L2,Product,Mass (kD),Function,Mem true,Hyp true,DNA true,Secr true,Inc true,Protein Family,PDB ID,PDB,PDBImageURL,AlphaFold ID,AFImageURL,Version,Structural homology (Foldseek),Biological Process,Cellular Component,Molecular Function,Subcellular Location,Subunit Structure,LastEdited,EditedByName,Favorite
kdsA TC0025,TC0025,25,Q9PLS0,kdsA,269,,CT655,CTL0024,2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase),29.7,Cell envelope,FALSE,FALSE,FALSE,FALSE,FALSE,KdsA family,,,,Q9PLS0,,,,keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0019294],cytoplasm [GO:0005737],3-deoxy-8-phosphooctulonate synthase activity [GO:0008676],Cytoplasm {ECO:0000250}.,,,,
 TC0026,TC0026,26,Q9PLR9,,107,,,,Uncharacterized protein,12.0,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLR9,,,,,,,,,,,
 TC0027,TC0027,27,Q9PLR8,,95,,CT656,CTL0025,Uncharacterized protein,10.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLR8,,,,,,,,,,,
 TC0028,TC0028,28,Q9PLR7,,105,,CT657,CTL0026,Uncharacterized protein,12.5,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLR7,,,,,,,,,,,
khpA TC0030,TC0030,29,Q9PLR5,khpA,78,,CT659,CTL0028,RNA-binding protein KhpA (KH-domain protein A),8.8,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,KhpA RNA-binding protein family,,,,Q9PLR5,,,,,cytoplasm [GO:0005737],RNA binding [GO:0003723],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00088}.,,,,
gyrA-1 TC0031,TC0031,30,Q9PLR4,gyrA-1,490,,CT660,CTL0029,"DNA gyrase, subunit A",55.0,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,Type II topoisomerase GyrA/ParC subunit family,,,,Q9PLR4,,,,DNA topological change [GO:0006265],,"ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]",,,,,
gyrB-1 TC0032,TC0032,31,Q9PLR3,gyrB-1,605,,CT661,CTL0030,DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.2),68.4,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,Q9PLR3,,,,DNA topological change [GO:0006265],,"ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]",,,,,
hemA TC0033,TC0033,32,Q9PLR2,hemA,333,,CT662,CTL0031,Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70),39.0,Cofactor metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Glutamyl-tRNA reductase family,,,,Q9PLR2,,,,protoporphyrinogen IX biosynthetic process [GO:0006782],,glutamyl-tRNA reductase activity [GO:0008883]; NADP binding [GO:0050661],,Homodimer. {ECO:0000255|HAMAP-Rule:MF_00087}.,,,
 TC0034,TC0034,33,Q9PLR1,,133,,CT663,CTL0032,Uncharacterized protein TC_0034,14.7,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,Chlamydial CPn_0713/CT_663/TC_0034 family,,,,Q9PLR1,,,,protein secretion by the type III secretion system [GO:0030254],,,,,,,
 TC0035,TC0035,34,Q9PLR0,,824,,CT664,CTL0033,Uncharacterized protein,89.7,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLR0,,,,,membrane [GO:0016020],,,,,,
 TC0036,TC0036,35,Q9PLQ9,,84,,CT665,CTL0034,Uncharacterized protein TC_0036,9.5,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,Chlamydial CPn_0711/CT_665/TC_0036 family,,,,Q9PLQ9,,,,,,,,,,,
 TC0037,TC0037,36,Q9PLQ8,,82,,CT666,CTL0035,Uncharacterized protein TC_0037,9.1,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,Chlamydial CPn_0710/CT_666/TC_0037 family,,,,Q9PLQ8,,,,,,,,,,,
 TC0038,TC0038,37,Q9PLQ7,,149,,CT667,CTL0036,Uncharacterized protein,16.8,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLQ7,,,,,,protein serine/threonine kinase activity [GO:0004674],,,,,
 TC0039,TC0039,38,Q9PLQ6,,226,,CT668,CTL0037,Uncharacterized protein,25.0,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLQ6,,,,,,,,,,,
sctN TC0040,TC0040,39,Q9PLQ5,sctN,442,,CT669,CTL0038,Type 3 secretion system ATPase (EC 7.4.2.8),48.2,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,"ATPase alpha/beta chains family, T3SS ATPase subfamily",,,,Q9PLQ5,,,,protein secretion by the type III secretion system [GO:0030254],cytoplasm [GO:0005737]; type III protein secretion system complex [GO:0030257],"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]",Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,,,,
 TC0041,TC0041,40,Q9PLQ4,,168,,CT670,CTL0039,Type III secretion T3S chaperone,20.2,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLQ4,,,,,,,,,,,
 TC0042,TC0042,41,Q9PLQ3,,283,,CT671,CTL0040,Uncharacterized protein TC_0042,31.1,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,Chlamydial CPn_0705/CT_671/TC_0042 family,,,,Q9PLQ3,,,,,,,,,,,
sctQ TC0043,TC0043,42,Q9PLQ2,sctQ,373,,CT672,CTL0041,Type III secretion translocase SctQ,41.4,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLQ2,,,,protein secretion by the type III secretion system [GO:0030254],,,,,,,
 TC0044,TC0044,43,Q9PLQ1,,489,,CT673,CTL0042,non-specific serine/threonine protein kinase (EC 2.7.11.1),56.4,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLQ1,,,,phosphorylation [GO:0016310],,ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674],,,,,
sctC TC0045,TC0045,44,Q9PLQ0,sctC,672,,CT674,CTL0043,Type III secretion protein SctC,73.1,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,Bacterial secretin family,,,,Q9PLQ0,,,,protein secretion [GO:0009306],cell outer membrane [GO:0009279],,Cell outer membrane {ECO:0000256|RuleBase:RU004004}.,,,,
mcsB TC0046,TC0046,45,Q9PLP9,mcsB,356,,CT675,CTL0044,Protein-arginine kinase (EC 2.7.14.1),40.5,Amino acid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,ATP:guanido phosphotransferase family,,,,Q9PLP9,,,,phosphorylation [GO:0016310],,"ATP binding [GO:0005524]; phosphotransferase activity, nitrogenous group as acceptor [GO:0016775]; protein kinase activity [GO:0004672]",,,,,
 TC0047,TC0047,46,Q9PLP8,,177,,CT676,CTL0045,UVR domain-containing protein,20.2,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLP8,,,,,,,,,,,
frr TC0048,TC0048,47,P71148,frr,179,,CT677,CTL0046,Ribosome-recycling factor (RRF) (Ribosome-releasing factor),20.0,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,RRF family,,,,P71148,,,,translational termination [GO:0006415],cytoplasm [GO:0005737],,Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00040}.,,,,
pyrH TC0049,TC0049,48,P71147,pyrH,245,,CT678,CTL0047,Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK),26.3,Nucleotide metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,UMP kinase family,,,,P71147,,,,'de novo' CTP biosynthetic process [GO:0044210]; phosphorylation [GO:0016310],cytoplasm [GO:0005737],ATP binding [GO:0005524]; UMP kinase activity [GO:0033862],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01220}.,Homohexamer. {ECO:0000255|HAMAP-Rule:MF_01220}.,,,
tsf TC0050,TC0050,49,P71146,tsf,282,,CT679,CTL0048,Elongation factor Ts (EF-Ts),30.8,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,EF-Ts family,,,,P71146,,,,,cytoplasm [GO:0005737],translation elongation factor activity [GO:0003746],Cytoplasm.,,,,
rpsB TC0051,TC0051,50,P71145,rpsB,281,,CT680,CTL0049,Small ribosomal subunit protein uS2 (30S ribosomal protein S2),31.1,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Universal ribosomal protein uS2 family,,,,P71145,,,,translation [GO:0006412],small ribosomal subunit [GO:0015935],structural constituent of ribosome [GO:0003735],,,,,
ompA TC0052,TC0052,51,P75024,ompA,387,,CT681,CTL0050,Major outer membrane porin (MOMP),42.0,Cell envelope,TRUE,FALSE,FALSE,FALSE,FALSE,Chlamydial porin (CP) (TC 1.B.2) family,,,,P75024,,,,monoatomic ion transport [GO:0006811]; regulation of cell shape [GO:0008360],cell outer membrane [GO:0009279]; pore complex [GO:0046930],porin activity [GO:0015288]; structural molecule activity [GO:0005198],Cell outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.,"Part of a disulfide cross-linked outer membrane complex (COMC) composed of the major outer membrane porin (MOMP), the small cysteine-rich protein (OmcA) and the large cysteine-rich periplasmic protein (OmcB).",,,
 TC0053,TC0053,52,Q9PLP6,,36,,,,Uncharacterized protein,4.2,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLP6,,,,,,,,,,,
 TC0054,TC0054,53,Q9PLP5,,1080,,CT682,CTL0051,"Penicillin-binding protein, putative",124.5,Cell envelope,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLP5,,,,,membrane [GO:0016020],penicillin binding [GO:0008658],Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.,,,,
 TC0055,TC0055,54,Q9PLP4,,335,,CT683,CTL0052,"Type III secretion chaperone, putative",38.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLP4,,,,,,protein serine/threonine kinase activity [GO:0004674],,,,,
 TC0056,TC0056,55,Q9PLP3,,483,,CT684,CTL0053,SUF system FeS cluster assembly SufBD N-terminal domain-containing protein,54.0,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,Iron-sulfur cluster assembly SufBD family,,,,Q9PLP3,,,,iron-sulfur cluster assembly [GO:0016226],,,,,,,
 TC0057,TC0057,56,Q9PLP2,,255,,CT685,CTL0054,"ABC transporter, ATP-binding protein",28.6,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,"ABC transporter superfamily, Ycf16 family",,,,Q9PLP2,,,,,,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,,,,
 TC0058,TC0058,57,Q9PLP1,,393,,CT686,CTL0055,ABC transporter permease,44.1,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLP1,,,,iron-sulfur cluster assembly [GO:0016226],,,,,,,
csd TC0059,TC0059,58,Q9PLP0,csd,400,,CT687,CTL0056,Probable cysteine desulfurase (EC 2.8.1.7),43.6,Amino acid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,"Class-V pyridoxal-phosphate-dependent aminotransferase family, Csd subfamily",,,,Q9PLP0,,,,cysteine metabolic process [GO:0006534],,cysteine desulfurase activity [GO:0031071]; pyridoxal phosphate binding [GO:0030170],,,,,
parB TC0060,TC0060,59,Q9PLN9,parB,280,,CT688,CTL0057,Probable chromosome-partitioning protein ParB,31.4,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,ParB family,,,,Q9PLN9,,,,chromosome segregation [GO:0007059],,DNA binding [GO:0003677],,,,,
 TC0061,TC0061,60,Q9PLN8,,290,,CT689,CTL0058,"Peptide ABC transporter, ATP-binding protein",32.6,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,ABC transporter superfamily,,,,Q9PLN8,,,,peptide transport [GO:0015833],,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,,,,
 TC0062,TC0062,61,Q9PLN7,,321,,CT690,CTL0059,"Peptide ABC transporter, ATP-binding protein",36.1,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,ABC transporter superfamily,,,,Q9PLN7,,,,peptide transport [GO:0015833],,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],,,,,
 TC0063,TC0063,62,Q9PLN6,,224,,CT691,CTL0060,UPF0111 protein TC_0063,25.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,UPF0111 family,,,,Q9PLN6,,,,,,,,,,,
 TC0064,TC0064,63,Q9PLN5,,426,,CT692,CTL0061,Putative phosphate permease TC_0064,45.6,Membrane transport,FALSE,FALSE,FALSE,FALSE,FALSE,Inorganic phosphate transporter (PiT) (TC 2.A.20) family,,,,Q9PLN5,,,,phosphate ion transport [GO:0006817],plasma membrane [GO:0005886],inorganic phosphate transmembrane transporter activity [GO:0005315],Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,,,,
pgk TC0065,TC0065,64,Q9PLN4,pgk,403,,CT693,CTL0062,Phosphoglycerate kinase (EC 2.7.2.3),43.4,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Phosphoglycerate kinase family,,,,Q9PLN4,,,,glycolytic process [GO:0006096]; phosphorylation [GO:0016310],cytoplasm [GO:0005737],ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618],Cytoplasm {ECO:0000250}.,Monomer. {ECO:0000250}.,,,
 TC0066,TC0066,65,Q9PLN3,,334,,CT694,CTL0063,Uncharacterized protein,35.7,Secreted effector,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,Q9PLN3,,,,,,,,,,,
 TC0067,TC0067,66,Q9PLN2,,397,,CT695,CTL0064,Uncharacterized protein,44.6,Secreted effector,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,Q9PLN2,,,,,,,,,,,
 TC0068,TC0068,67,Q9PLN1,,392,,CT696,CTL0065,Uncharacterized protein TC_0068,45.7,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,Chlamydial CPn_0675/CT_696/TC_0068 family,,,,Q9PLN1,,,,,,,,,,,
nth TC0069,TC0069,68,Q9PLN0,nth,210,,CT697,CTL0066,Endonuclease III,23.5,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,Q9PLN0,,,,base-excision repair [GO:0006284],,"4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; hydrolase activity, acting on glycosyl bonds [GO:0016798]; metal ion binding [GO:0046872]",,,,,
mnmE TC0070,TC0070,69,Q9PLM9,mnmE,444,,CT698,CTL0067,tRNA modification GTPase MnmE (EC 3.6.-.-),48.2,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, TrmE GTPase family",,,,Q9PLM9,,,,tRNA modification [GO:0006400],cytoplasm [GO:0005737],GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00379}.,Homodimer. Heterotetramer of two MnmE and two MnmG subunits. {ECO:0000255|HAMAP-Rule:MF_00379}.,,,
 TC0071,TC0071,70,Q9PLM8,,39,,,,Uncharacterized protein,4.6,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLM8,,,,,,,,,,,
psd TC0072,TC0072,71,Q9PLM7,psd,301,,CT699,CTL0068,Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain],34.1,Lipid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,"Phosphatidylserine decarboxylase family, PSD-B subfamily, Prokaryotic type II sub-subfamily",,,,Q9PLM7,,,,phosphatidylethanolamine biosynthetic process [GO:0006646],plasma membrane [GO:0005886],phosphatidylserine decarboxylase activity [GO:0004609],Cell membrane {ECO:0000255|HAMAP-Rule:MF_00663}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00663}.,Heterodimer of a large membrane-associated beta subunit and a small pyruvoyl-containing alpha subunit. {ECO:0000255|HAMAP-Rule:MF_00663}.,,,
 TC0073,TC0073,72,Q9PLM6,,441,,CT700,CTL0069,Uncharacterized protein,51.0,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLM6,,,,,,protein serine/threonine kinase activity [GO:0004674],,,,,
